name	genres	# Spotify followers	# RYM followers	mean RYM rating	current location	RYM url	Spotify url
Cvntess		120	0	0		None	https://open.spotify.com/artist/0dFSRKsQ4GPqJPTWbrcAA4?si=7OkpaEMFSCO6gIaZ6Gyrlg
Leira The Tranarchist		185	0	0		None	https://open.spotify.com/artist/2pvWEDgUbvpSlHAL5AMXAR?si=Dwlz1nMUSxe9klXiWliAqQ
oldphone		213	0	0		None	https://open.spotify.com/artist/4TWPAmULmnzQJY92c7JL2S?si=EVuWTi5kTx-RYXVjuVbV3Q
Yona Melon		267	0	0		None	https://open.spotify.com/artist/6nRWbqM0HdNY3tReKpA7xa?si=kB29o5G8RgGwAKtlMFzHmg
Jennifer Reiser		54	0	0		None	https://open.spotify.com/artist/7lOmkhtJtWM9zfS6GqFkCK?si=NA9zYlIlRrSLvMogOwmhtQ
Faded Home		212	0	0		None	https://open.spotify.com/artist/7vogitBAVOATfU6wMmgpoF?si=u_wPK1HcRVOInwEO_woR8g
08 Identities	Ambient	10	6	4.08	Amiens, Hauts-de-France, France	https://rateyourmusic.com/artist/08-identities	https://open.spotify.com/artist/0OAXkxJEn7jmWcKg1sPh9c
100 gecs	Hyperpop, Bubblegum Bass, Pop Rap, Alternative Rock, Power Pop, Industrial Hip Hop	581017	27757	3.29	Los Angeles, CA, United States	https://rateyourmusic.com/artist/100-gecs	https://open.spotify.com/artist/6PfSUFtkMVoDkx4MQkzOi3
4th Curtis	Indie Rock, Indie Pop	1505	31	3.45		https://rateyourmusic.com/artist/4th-curtis	https://open.spotify.com/artist/4j6cIg3cUwqmA8wC8cijM9
909 Worldwide	Happy Hardcore	None	157	3.38		https://rateyourmusic.com/artist/909-worldwide	None
99jakes	Happy Hardcore, Hardcore [EDM], Gabber, Hyperpop, Mashcore	4119	408	3.5	Santa Fe, NM, United States	https://rateyourmusic.com/artist/99jakes	https://open.spotify.com/artist/05EZHLl1aPk4XibP2BgIrP
*soft vowel sounds*	Pop, Rock	None	0	0.0	Oakland, CA, United States	https://rateyourmusic.com/artist/_soft-vowel-sounds	None
A Constant Knowledge of Death	Post-Hardcore, Progressive Metal, Atmospheric Sludge Metal	693	88	3.44		https://rateyourmusic.com/artist/a-constant-knowledge-of-death	https://open.spotify.com/artist/1wPNNuO8XmHMxCvjl3SKPT
A Few Hours Later	Slacker Rock, Emo, Neo-Psychedelia, Shoegaze	20	26	3.5		https://rateyourmusic.com/artist/a-few-hours-later	https://open.spotify.com/artist/1ckOSUGP1vmApWrzafkybn
A Stick and a Stone	Neofolk	606	17	3.33		https://rateyourmusic.com/artist/a_stick_and_a_stone	https://open.spotify.com/artist/1HnICIhLMb5i1qL7OUpshY
Abernathy	Singer-Songwriter, Indie Folk	721	69	3.39	NJ, United States	https://rateyourmusic.com/artist/abernathy	https://open.spotify.com/artist/5MKSXHrcpK24tQI9WxT7aK
Abscynthe	Black Metal	119	6	2.42	Herndon, VA, United States	https://rateyourmusic.com/artist/abscynthe	https://open.spotify.com/artist/1RsSqNDri3ED733SMzXHI6
ABSRDST	Electropop, Future Bass, Alternative R&B, Digital Fusion, Hyperpop, Chiptune	21184	283	3.21	New York, NY, United States	https://rateyourmusic.com/artist/absrdst	https://open.spotify.com/artist/0F4rneT54YD3eaWYXUXvFM
Absu	Black Metal, Death Metal, Black Metal, Thrash Metal	41453	3271	3.49		https://rateyourmusic.com/artist/absu	https://open.spotify.com/artist/3eVkhnD2UKVjX5uiUsqfXP
Acrylate	Experimental	14	8	3.74		https://rateyourmusic.com/artist/acrylate-1	https://open.spotify.com/artist/0Ke0CKZtBKlaqk12AI9ZyE
Ada Rook	Electro-Industrial, Post-Industrial, Indietronica, Video Game Music, Electropop, Aggrotech	11934	2597	3.5	Toronto, ON, Canada	https://rateyourmusic.com/artist/ada-rook	https://open.spotify.com/artist/1x1MfkVjf8yEzwKhAYZtPY
Adderall	Hardcore Punk	286	11	3.17		https://rateyourmusic.com/artist/adderall	https://open.spotify.com/artist/2Eqm5rFhkug6t0UoQVK6jA
Addison Grace	Indie Pop	171039	28	3.31	UT, United States	https://rateyourmusic.com/artist/addison-grace	https://open.spotify.com/artist/39EIRTZx1JjfeDLVdbj2ap
Adrianne	Indie Folk, Depressive Black Metal	None	35	3.48	Chicago, IL, United States	https://rateyourmusic.com/artist/adrianne-1	None
Adult Mom	Bedroom Pop, Singer-Songwriter, Indie Pop, Slacker Rock, Twee Pop	53686	442	3.06	Purchase, NY, United States	https://rateyourmusic.com/artist/adult-mom	https://open.spotify.com/artist/7tuwjSE2q4zeBdNObeO7LB
afterlife dating	Post-Rock, Shoegaze, Emo, Screamo, Slacker Rock, Noise Rock	273	236	3.43		https://rateyourmusic.com/artist/afterlife-dating	https://open.spotify.com/artist/7qIH8injO779nzrYn9wQaH
Against Me!	Punk Rock, Folk Punk, Alternative Rock, Power Pop, Pop Punk, Acoustic Rock	285546	6153	3.45		https://rateyourmusic.com/artist/against-me	https://open.spotify.com/artist/29lz7gs8edwnnfuXW4FhMl
Agatha	Riot Grrrl, Queercore	847	21	3.57		https://rateyourmusic.com/artist/agatha_f2	https://open.spotify.com/artist/2C2kOwLa4Zv5Y7MnKT3eJo
Ah-Mer-Ah-Su	Electropop	8766	40	3.18	Los Angeles, CA, United States	https://rateyourmusic.com/artist/ah-mer-ah-su	https://open.spotify.com/artist/6uCILdubNJBlEvfxOCDluy
Aiza Seguerra	OPM	571550	5	2.9		https://rateyourmusic.com/artist/aiza-seguerra	https://open.spotify.com/artist/0GnuCXvnvVtX5DShryuyp9
Aja	Hip House	36060	35	2.72	Brooklyn, NY, United States	https://rateyourmusic.com/artist/aja-1	https://open.spotify.com/artist/0fWt4FY87imqsBJpt2QVL0
Aki McCullough		None	4	0.0	Shrewsbury, MA, United States	https://rateyourmusic.com/artist/aki-mccullough	None
Alena Phoenix	Cloud Rap, Experimental Hip Hop, Experimental, Dark Ambient, Ambient	48	66	3.09		https://rateyourmusic.com/artist/alena-phoenix	https://open.spotify.com/artist/2RHN8dR5PMzDUi2rxhX4Jh
Alex Mauer	Chiptune, FM Synthesis, Video Game Music	None	209	3.24	Levittown, PA, United States	https://rateyourmusic.com/artist/alex_mauer	None
Alexander James Adams	Geek Folk, Neo-pagan	1845	5	1.5	Portland, OR, United States	https://rateyourmusic.com/artist/alexander-james-adams	https://open.spotify.com/artist/7oK6GOW4RA99mAPpOAwCBb
Alice Gas	Happy Hardcore, Hyperpop, Digicore, Bubblegum Bass, UK Hardcore, Makina	51019	1489	3.39	Denton, TX, United States	https://rateyourmusic.com/artist/alice-gas	https://open.spotify.com/artist/4RhJ79LFbfmdtpuir6C9nR
Alice Goes to Hell	Happy Hardcore	None	13	3.43		https://rateyourmusic.com/artist/alice-goes-to-hell	None
Alice Low	Glam Rock, Art Rock	536	49	3.62	Cardiff, Cardiff, United Kingdom	https://rateyourmusic.com/artist/alice-low	https://open.spotify.com/artist/3mSS5RJRziMAKk5aeSyPSI
All the Pretty Horses		337	9	3.6		https://rateyourmusic.com/artist/all_the_pretty_horses	https://open.spotify.com/artist/2SqxQJtFRqjVa7HSGFEjE0
altostrati	Ambient, Electronic	14	5	3.57		https://rateyourmusic.com/artist/altostrati	https://open.spotify.com/artist/4PignKJw1olOySc9OV7w0f
Alyssa Kai	Traditional Folk Music	None	7	3.08	Montague, MA, United States	https://rateyourmusic.com/artist/alyssa_kai	None
American Girls	Experimental	None	5	1.91	Raleigh, NC, United States	https://rateyourmusic.com/artist/american-girls	None
American Grandma	Slowcore	629	16	3.56	Denver, CO, United States	https://rateyourmusic.com/artist/american-grandma	https://open.spotify.com/artist/4XTcP25C5ZUWpwf0NYGJnn
Analemma	Experimental	None	44	3.14		https://rateyourmusic.com/artist/analemma	None
Anarchy 99	Electro-Industrial	4144	326	3.16		https://rateyourmusic.com/artist/anarchy-99	https://open.spotify.com/artist/4kEWQTJj8q3x7NfNcyLFDa
andromaeda	Bedroom Pop	None	31	3.52	Auckland, New Zealand	https://rateyourmusic.com/artist/andromaeda	None
Angel Electronics	Pop Punk, Power Pop	1431	406	3.32		https://rateyourmusic.com/artist/angel-electronics	https://open.spotify.com/artist/5pWpg0saMHolhv0hsOooaq
Angel-Ho	Deconstructed Club, Epic Collage, Hip House, Ballroom, Dance-Pop, Experimental Hip Hop	2165	321	2.84		https://rateyourmusic.com/artist/angel-ho	https://open.spotify.com/artist/39TepozBC9n9EZrCL6jYpS
Angel Mange	Electronic	None	3	2.0	Atlanta, GA, United States	https://rateyourmusic.com/artist/angel-mange	None
